바코드,이름,판매가격,파싱문자열,회사코드,품목코드,정규화바코드,표준코드후보,대표코드후보,업체코드,검증번호,상태
0108806448014713,엘린플러스크림 20g,"4,000",6448014713,6448,01471,8806448014713 ,8806448014713 ,644801471,6448,3,OK
0108806448016427,제올라에스액 60g,"4,000",6448016427,6448,01642,8806448016427 ,8806448016427 ,644801642,6448,7,OK
0108806448016519,제올라크림 15g,"3,000",6448016519,6448,01651,8806448016519 ,8806448016519 ,644801651,6448,9,OK
0108806448016724,[태극] 지스톤 30g,"3,000",6448016724,6448,01672,8806448016724 ,8806448016724 ,644801672,6448,4,OK
0108806448022718,아즈렌 에스크림 30g,"5,000",6448022718,6448,02271,8806448022718 ,8806448022718 ,644802271,6448,8,OK
0108806448023913,[태극] 케토코나졸 크림 20g,"3,000",6448023913,6448,02391,8806448023913 ,8806448023913 ,644802391,6448,3,OK
0108806448028123,파티마겔 2.5% 30g,"5,000",6448028123,6448,02812,8806448028123 ,8806448028123 ,644802812,6448,3,OK
0108806448030911,하이로손 20g,"2,500",6448030911,6448,03091,8806448030911 ,8806448030911 ,644803091,6448,1,OK
0108806448033028,벤트플라 15g,"7,000",6448033028,6448,03302,8806448033028 ,8806448033028 ,644803302,6448,8,OK
0108806448033417,[태극]나프졸 크림 30g,"5,000",6448033417,6448,03341,8806448033417 ,8806448033417 ,644803341,6448,7,OK
0108806448039938,이클린탁스130g,"7,000",6448039938,6448,03993,8806448039938 ,8806448039938 ,644803993,6448,8,OK
0108806448046622,티트로신 10g,"4,000",6448046622,6448,04662,8806448046622 ,8806448046622 ,644804662,6448,2,OK
0108806448055419,목앤탁 30ml,"7,000",6448055419,6448,05541,8806448055419 ,8806448055419 ,644805541,6448,9,OK
0108806448057314,[태극] 우레아 60g,"4,500",6448057314,6448,05731,8806448057314 ,8806448057314 ,644805731,6448,4,OK
0108806448058823,아크스카클리어 20g,"12,000",6448058823,6448,05882,8806448058823 ,8806448058823 ,644805882,6448,3,OK
0108806448063612,아나파베 10T,"2,000",6448063612,6448,06361,8806448063612 ,8806448063612 ,644806361,6448,2,OK
0108806448064510,미녹시딜 바이그루트액 3% 200ml,"25,000",6448064510,6448,06451,8806448064510 ,8806448064510 ,644806451,6448,0,OK
0108806448064633,미녹시딜 바이그루트액 5% 200ml,"25,000",6448064633,6448,06463,8806448064633 ,8806448064633 ,644806463,6448,3,OK
0108806448065821,아크클리어크림 20g,"10,000",6448065821,6448,06582,8806448065821 ,8806448065821 ,644806582,6448,1,OK
0108806448066156,도미나 라이트(히드라퀴논2%) 40g,"20,000",6448066156,6448,06615,8806448066156 ,8806448066156 ,644806615,6448,6,OK
0108806448067214,메타리빈액 15ml,"6,000",6448067214,6448,06721,8806448067214 ,8806448067214 ,644806721,6448,4,OK
0108806453030715,호르반 30ml,"4,000",6453030715,6453,03071,8806453030715 ,8806453030715 ,645303071,6453,5,OK
0108806453033839,티어클린(순) 15ml,"3,000",6453033839,6453,03383,8806453033839 ,8806453033839 ,645303383,6453,9,OK
0108806453060521,티어클린 0.5ml x 30관,"7,000",6453060521,6453,06052,8806453060521 ,8806453060521 ,645306052,6453,1,OK
0108806457011918,탄툼 베르데 네뷸라이저(30ml),"7,000",6457011918,6457,01191,8806457011918 ,8806457011918 ,645701191,6457,8,OK
0108806457027919,[삼아] 리도멕스 0.15% 15g,"4,000",6457027919,6457,02791,8806457027919 ,8806457027919 ,645702791,6457,9,OK
0108806458039621,[바이넥스] 티나청포르테 점안액 14ml,"3,000",6458039621,6458,03962,8806458039621 ,8806458039621 ,645803962,6458,1,OK
0108806470004935,안티포스 10g,"3,000",6470004935,6470,00493,8806470004935 ,8806470004935 ,647000493,6470,5,OK
0108806470007110,안티클로크림 5g,"4,000",6470007110,6470,00711,8806470007110 ,8806470007110 ,647000711,6470,0,OK
0108806478049129,돌체락 5ml x 20P,"12,000",6478049129,6478,04912,8806478049129 ,8806478049129 ,647804912,6478,9,OK
01088064780571241727100310IKMA00,아이스콘 0.5ml x 30관,"7,000",6478057124172710031000,6478,05712,8806478057124172710031000,8806478057124 ,647805712,6478,4,OK
0108806481013247,코졸텍 10T,"1,500",6481013247,6481,01324,8806481013247 ,8806481013247 ,648101324,6481,7,OK
0108806481013568,속엔쿨 10T,"1,500",6481013568,6481,01356,8806481013568 ,8806481013568 ,648101356,6481,8,OK
0108806481027619,그날엔큐 10T,"2,000",6481027619,6481,02761,8806481027619 ,8806481027619 ,648102761,6481,9,OK
0108806481037717,애니메디 5ml,"4,000",6481037717,6481,03771,8806481037717 ,8806481037717 ,648103771,6481,7,OK
0108806481044517,[경동] 애니큐어 10g,"2,500",6481044517,6481,04451,8806481044517 ,8806481044517 ,648104451,6481,7,OK
0108806481047419,그날엔 더블유 12C,"2,500",6481047419,6481,04741,8806481047419 ,8806481047419 ,648104741,6481,9,OK
0108806481049512,코투루텐 20ml,"6,000",6481049512,6481,04951,8806481049512 ,8806481049512 ,648104951,6481,2,OK
0108806483002232,포비돈스틱스왑 2p,360,6483002232,6483,00223,8806483002232 ,8806483002232 ,648300223,6483,2,OK
0108806486004264,(보령)리메부틴정 10T,"2,000",6486004264,6486,00426,8806486004264 ,8806486004264 ,648600426,6486,4,OK
0108806486021711,젠타졸정 2T,800,6486021711,6486,02171,8806486021711 ,8806486021711 ,648602171,6486,1,OK
0108806495025311,유니센타액 60V(20ml x 30V x 2EA),"200,000",6495025311,6495,02531,8806495025311 ,8806495025311 ,649502531,6495,1,OK
0108806495071325,앗센 20ml x 30V,"50,000",6495071325,6495,07132,8806495071325 ,8806495071325 ,649507132,6495,5,OK
0108806495071332,앗센액 20ml x 60V(30V x 2EA),"100,000",6495071332,6495,07133,8806495071332 ,8806495071332 ,649507133,6495,2,OK
0108806497006646,지엘 소브레롤 10C,"2,000",6497006646,6497,00664,8806497006646 ,8806497006646 ,649700664,6497,6,OK
0108806497024015,애크논 크림 13g,"10,000",6497024015,6497,02401,8806497024015 ,8806497024015 ,649702401,6497,5,OK
0108806498018518,[명문]베라스톤크림 20g,"2,500",6498018518,6498,01851,8806498018518 ,8806498018518 ,649801851,6498,8,OK
0108806498027015,제나콤정 2T,800,6498027015,6498,02701,8806498027015 ,8806498027015 ,649802701,6498,5,OK
0108806498052727,옵트클린 14ml,"3,000",6498052727,6498,05272,8806498052727 ,8806498052727 ,649805272,6498,7,OK
