바코드,이름,판매가격,파싱문자열,회사코드,품목코드
1000141700004 ,류파프 핫 (4개 묶음),"10,000",,,
1000141800001 ,류파프 (4개묶움),"10,000",,,
1000141900008 ,케이팜플라스타 10매입(7개묶음),"10,000",,,
1000142000004 ,케토크린 (7묶음),"10,000",,,
1000142100001 ,록소크린 (4개묶음),"10,000",,,
1000142200008 ,페르빈(펠비낙)5개묶음,"10,000",,,
1000143100000 ,플러스인사포르테,"50,000",,,
1000146500005 ,오에수 트레할로스,"6,000",,,
1000146700009 ,삼영연고,"6,300",,,
1000152600003 ,메디터치리퀴드,"9,000",,,
1000162100005 ,H2Ome! 가습마스크 (아이보리),"3,150",,,
1000162400006 ,H2Ome! 가습마스크(다크그레이),"3,150",,,
1000205400000 ,자하골드 20ml x 4병,"15,000",,,
1000206100008 ,돌체락 15ml x 5P,"3,500",,,
1000206400009 ,비타바이브 수면 유산균 프로바이오틱스 30p,"32,000",,,
1000209100005 ,에너리버 120C,"40,000",,,
1000210600006 ,피로회복제,"8,000",,,
1000219100002 ,숙취해소제,"8,000",,,
10106970280851064,브라운 귀적외선 체온계,"80,000",,,
10108806416052310,임팩타민 프리미엄정 60T,"20,000",,,
